content;score;sentiment_rating;wordCount;tweet_with_stopwords;wordCount_after_stopwords;tweet_stemmed
riliv keren, karena kasih aku banyak pengalaman dan pelajaran tentang pentingnya kesehatan mental. banyak meditasi juga, terus konselornya ramah-ramah.;5;Positive;23;riliv keren kasih pengalaman pelajaran kesehatan mental  meditasi konselornya ramahramah ;10;riliv keren kasih pengalaman pelajaran kesehatan mental meditasi konselornya ramahramah
bagus!!! aplikasi nya bagus banget gak ada cacat sama sekali, recommended. download!!!;5;Positive;20;bagus    aplikasi bagus gak cacat recommended    ;6;bagu aplikasi bagu gak cacat recommend
ok;5;Positive;1;ok;1;ok
apk bagus;5;Positive;2;apk bagus;2;apk bagu
membantu sekalii, di hari harii;5;Positive;6;membantu sekalii harii;3;membantu sekalii harii
sangat baik,membantuku;5;Positive;4;membantuku;1;membantuku
bener bener sangat membantu;5;Positive;4;bener bener membantu;3;bener bener membantu
bagys;5;Positive;1;bagys;1;bagi
teman-teman yang ada ganjalan di hati dengan riliv bisa teratasi;5;Positive;10;temanteman ganjalan hati riliv teratasi;5;temanteman ganjalan hati riliv teratasi
aplikasi riliv sangat bagus dan bermanfaat bagi saya untuk mengetahui kondisi kesehatan saya saat sekarang.;5;Positive;16;aplikasi riliv bagus bermanfaat kondisi kesehatan ;6;aplikasi riliv bagu bermanfaat kondisi kesehatan
terimakasih semoga membantu banyak orang;4;Positive;5;terimakasih semoga membantu;3;terimakasih semoga membantu
bayak yang premium;4;Positive;3;bayak premium;2;bayak premium
adanya apk ini cukup membantu bagi saya. menu /fitur nya juga beragam,, tenaga psikolog profesional. terimakasih, salam sehat dan sukses menyertai. aamiin;5;Positive;28;apk membantu  menu fitur beragam tenaga psikolog profesional  terimakasih salam sehat sukses menyertai  aamiin;14;apk membantu menu fitur beragam tenaga psikolog profesion terimakasih salam sehat suks menyertai aamiin
sukak;5;Positive;1;sukak;1;sukak
sangat membantu karena sering malas journaling.;5;Positive;7;membantu malas journaling ;3;membantu mala journal
sedikit membantu menenangkan pikiran;5;Positive;4;membantu menenangkan pikiran;3;membantu menenangkan pikiran
aku yg ga punya tempat cerita jadi merasa dipeduliin dengan aplikasi ini. thanks for everything riliv:((;5;Positive;20;ga cerita dipeduliin aplikasi  thanks for everything riliv   ;8;ga cerita dipeduliin aplikasi thank for everyth riliv
saya puas;4;Positive;2;puas;1;pua
