Kata,POS Tag,Frekuensi
riliv,NOUN,297
keren,NOUN,69
kasih,NOUN,139
pengalaman,NOUN,6
pelajaran,NOUN,2
kesehatan,NOUN,36
mental,ADP,69
meditasi,NOUN,150
konselornya,NOUN,4
ramahramah,NUM,1
bagus,ADJ,376
aplikasi,NOUN,433
gak,X,94
cacat,NOUN,1
recommended,NOUN,12
ok,NOUN,26
apk,PROPN,61
membantu,PROPN,483
sekalii,NOUN,1
harii,PROPN,2
membantuku,PROPN,7
bener,PROPN,30
bagys,PROPN,2
temanteman,PROPN,2
ganjalan,NOUN,1
hati,NOUN,17
teratasi,VERB,2
bermanfaat,ADJ,66
kondisi,NOUN,9
terimakasih,ADV,118
semoga,ADV,96
bayak,VERB,1
premium,NOUN,8
menu,NOUN,4
fitur,NOUN,51
beragam,NOUN,2
tenaga,NOUN,1
psikolog,NOUN,68
profesional,ADJ,9
salam,NOUN,3
sehat,ADJ,10
sukses,ADJ,11
menyertai,VERB,1
aamiin,PROPN,3
sukak,PROPN,4
malas,NOUN,2
journaling,NOUN,3
menenangkan,VERB,32
pikiran,NOUN,44
ga,PROPN,99
cerita,NOUN,22
dipeduliin,NOUN,1
thanks,NOUN,38
for,PROPN,18
everything,PROPN,1
puas,VERB,7
curhat,NOUN,117
lengkap,PROPN,9
meringankan,VERB,5
tips,NOUN,2
mengurangi,VERB,14
depresi,NOUN,17
terima,ADJ,94
nyoba,PROPN,12
sleep,PROPN,4
journey,NOUN,5
seneng,PROPN,6
su,NOUN,1
nulis,NOUN,7
kertas,NOUN,1
suka,ADJ,126
mager,NOUN,1
sarana,NOUN,2
kegiatan,NOUN,1
produktif,NOUN,1
tks,PROPN,1
dirumah,NOUN,2
top,PROPN,10
hallo,PROPN,4
mendengar,VERB,2
lelap,NOUN,8
saran,NOUN,41
kualitas,NOUN,6
narator,NOUN,1
ditingkatkan,VERB,9
intonasi,NOUN,1
baca,NOUN,9
penggunaan,NOUN,2
tanda,NOUN,2
suara,NOUN,15
lembut,ADJ,4
tergesagesa,NOUN,1
membaca,VERB,2
teks,NOUN,2
hidup,VERB,19
over,PROPN,2
all,NOUN,4
baguss,NOUN,15
gratis,VERB,63
udah,VERB,96
iniiii,NUM,1
bagu,PROPN,2
jurnal,NOUN,13
harian,ADJ,1
jurnalnya,NOUN,2
gitu,NOUN,17
pusing,NOUN,2
mikirin,NOUN,1
pokok,NOUN,3
the,PROPN,14
best,NOUN,8
hp,NOUN,8
thank,NOUN,20
kak,PROPN,17
koq,NOUN,1
tutup,NOUN,2
liat,ADJ,8
riwayat,NOUN,1
konseling,NOUN,63
dealing,NOUN,1
with,VERB,3
issue,NOUN,1
cepat,ADJ,21
mudah,ADJ,40
ka,PROPN,4
makasih,NOUN,45
puasss,PROPN,2
aplikasinya,NOUN,108
menarik,VERB,19
mencari,VERB,11
bantuan,NOUN,11
membayar,VERB,5
ken,NOUN,1
uang,NOUN,9
sulit,ADJ,5
nih,NOUN,16
mudahkan,NOUN,1
maaf,NOUN,13
benarbenar,NUM,6
mendukung,VERB,6
orangorang,NOUN,5
baik,ADJ,2
bnr,PROPN,6
lega,VERB,16
stlah,PROPN,1
ktmu,PROPN,3
dpet,PROPN,1
konselor,NOUN,9
diajak,VERB,1
diskusi,NOUN,2
mnyudutkan,NUM,1
bagussss,PROPN,2
bngttt,NUM,1
kali,ADV,40
pakai,VERB,33
penasaran,NOUN,2
mencoba,VERB,22
mbantu,PROPN,1
sy,PROPN,21
lg,NOUN,15
cemas,VERB,18
menenagkn,NOUN,1
fikiran,NOUN,3
dg,ADP,10
intrusi,NOUN,1
meditasinya,NOUN,23
developer,NOUN,6
ketenangan,NOUN,7
kebahagiaan,NOUN,4
bagussssss,PROPN,2
tau,ADV,40
bilang,VERB,5
bgttt,PROPN,3
app,PROPN,89
bagusss,PROPN,6
meluapkan,VERB,1
emosi,NOUN,20
dr,DET,11
jg,ADV,12
belajar,VERB,9
mengapresiasi,VERB,1
there,NOUN,1
s,NOUN,2
a,NOUN,10
bug,NOUN,4
i,NOUN,24
cant,NOUN,2
regist,PROPN,1
or,PROPN,2
sign,PROPN,7
in,PROPN,22
dicantumkan,VERB,1
nama,NOUN,6
dokter,NOUN,3
usia,NOUN,5
pasien,NOUN,3
capabilitas,NOUN,1
integritas,NOUN,1
berkonsul,NUM,1
rivil,VERB,1
update,NOUN,16
terbaik,ADJ,17
sgt,PROPN,5
konsisten,ADJ,3
cakep,PROPN,2
orang,NOUN,8
tertutup,VERB,2
responnya,NOUN,9
ngebug,VERB,1
buka,NOUN,42
mohon,NOUN,21
perbaiki,NOUN,13
lgi,NUM,4
lumayan,ADV,43
sesi,NOUN,45
pembicara,NOUN,1
tenang,ADJ,79
nyaman,ADJ,28
ku,NOUN,38
panik,NOUN,6
mengikuti,VERB,4
disediakan,VERB,1
bingung,PROPN,9
gimana,NOUN,24
jelasin,NOUN,1
deh,NOUN,43
coba,NOUN,64
dalemnya,NOUN,1
asli,ADJ,3
worth,NOUN,8
it,PROPN,19
versi,NOUN,9
pelit,NOUN,1
tampilan,NOUN,5
arahan,NOUN,2
ribet,NOUN,1
membingungkan,VERB,1
simpel,NOUN,2
easy,NOUN,2
to,PROPN,9
use,PROPN,2
entertain,PROPN,1
karna,ADP,32
semanfaat,PROPN,1
pokonya,NUM,7
good,PROPN,98
aplication,NUM,1
berjalan,VERB,3
melupakan,VERB,1
permasalahan,NOUN,16
dialami,VERB,1
kehidupan,NOUN,8
seharihari,NUM,1
seru,PROPN,7
journal,NOUN,10
isi,NOUN,11
bahasa,NOUN,3
ringan,ADJ,3
mengobrol,VERB,1
teman,NOUN,31
menemani,VERB,3
membaik,VERB,4
menjaga,VERB,9
memperbaiki,VERB,6
bersyukur,VERB,6
hadirnya,VERB,2
rilivsemoga,NOUN,1
bersemangat,ADJ,1
penuh,ADJ,5
syukur,NOUN,2
hidupkukesehatan,NOUN,1
jaga,NOUN,4
terobosan,NOUN,1
masyarakat,NOUN,6
terbuka,ADJ,3
my,PROPN,7
aplikais,PROPN,1
menggunakannya,VERB,2
butuh,VERB,32
penanganan,NOUN,4
sadar,VERB,4
duit,NOUN,5
so,NOUN,15
bertahan,VERB,1
